SKU,UPC Code,Product Description,Brand,Retail Price,Product URL,Image URL,Category,Subcategory,
259368,,SIIG Cable CB-TC0A12-S1 USB Type-C to DisplayPort Cable 2M OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=259368,https://www.asipartner.com/ocadmin/images/original/259368.jpg,Cables,External IDE,
259369,,SIIG AC CE-MT2412-S1 Full-Motion Gas Spring Single Monitor Desk Mount 13-27,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=259369,https://www.asipartner.com/ocadmin/images/original/259369.jpg,Accessories,Monitor CB Mount Accessory,
260901,,SIIG AC JU-DK0N11-S1 USB-C Dual Video MST Docking Station with PD Charging,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=260901,https://www.asipartner.com/ocadmin/images/original/260901.jpg,Accessories,Notebook Accessories,
261121,,SIIG AC CE-MT3H11-S1 Heavy Duty Gas Spring Aluminum Desk Monitor Arm Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=261121,https://www.asipartner.com/ocadmin/images/original/261121.jpg,Accessories,Accessories,
261123,,SIIG AC CE-MT3J11-S1 Premium Single Monitor Arm Desk Mount w Game RGB Lighting,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=261123,https://www.asipartner.com/ocadmin/images/original/261123.jpg,Accessories,Accessories,
261124,,SIIG AC CE-MT3K11-S1 Premium Dual Monitor Arms Desk Mount w Game RGB Lighting,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=261124,https://www.asipartner.com/ocadmin/images/original/261124.jpg,Accessories,Accessories,
261126,,SIIG AC CE-H27211-S1 3x1 HDMI 2.0 Switch with IR & Voice APP Control Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=261126,https://www.asipartner.com/ocadmin/images/original/261126.jpg,Accessories,Accessories,
261538,,SIIG AC CE-H27411-S1 HDMI USB KVM Over Cat6 Extender 70m Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=261538,https://www.asipartner.com/ocadmin/images/original/261538.jpg,Accessories,Accessories,
261539,,SIIG AC CE-H27511-S1 HDMI Video H.264 H.265 IPTV Encoder w loopout Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=261539,https://www.asipartner.com/ocadmin/images/original/261539.jpg,Accessories,Accessories,
261540,,SIIG AC JU-H30H11-S1 USB 3.0 to HDMI DVI Video Adapter Pro Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=261540,https://www.asipartner.com/ocadmin/images/original/261540.jpg,Accessories,Accessories,
261541,,SIIG AC CE-H26T11-S1 HDMI HDbitT Over IP Extender with IR 120m Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=261541,https://www.asipartner.com/ocadmin/images/original/261541.jpg,Accessories,Accessories,
261542,,SIIG AC CE-H26U11-S1 HDMI HDbitT Over IP Extender with IR Receiver Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=261542,https://www.asipartner.com/ocadmin/images/original/261542.jpg,Accessories,Accessories,
261544,,SIIG AC CE-MT1822-S1 Dual Monitor Articulating Desk Mount 13 to 27 Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=261544,https://www.asipartner.com/ocadmin/images/original/261544.jpg,Accessories,Monitor CB Mount Accessory,
262537,,SIIG AC JU-DK0Q11-S1 USB-C Quad Hybrid 4K Video Docking Station w PD Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=262537,https://www.asipartner.com/ocadmin/images/original/262537.jpg,Accessories,Notebook Accessories,
262539,,SIIG AC JU-DK0S11-S1 USB-C Multitask Adapter with Conference Speaker Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=262539,https://www.asipartner.com/ocadmin/images/original/262539.jpg,Accessories,Accessories,
263682,,SIIG AC CE-H23A11-S2 HDMI Over IP Extender with IR - Kit Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=263682,https://www.asipartner.com/ocadmin/images/original/263682.jpg,Accessories,Accessories,
263683,,SIIG AC CE-H23B11-S2 HDMI Over IP Extender with IR - Transmitter Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=263683,https://www.asipartner.com/ocadmin/images/original/263683.jpg,Accessories,Accessories,
263684,,SIIG AC CE-H23C11-S2 HDMI Over IP Extender with IR - Receiver Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=263684,https://www.asipartner.com/ocadmin/images/original/263684.jpg,Accessories,Accessories,
264460,,SIIG AC CB-DP1T12-S1 DisplayPort to HDMI Adapter 4K 30Hz OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=264460,,Accessories,Accessories,
264812,,SIIG AC CE-DK0111-S1 Dual Host 4K USB-C KVM MST Docking Station w PD Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=264812,https://www.asipartner.com/ocadmin/images/original/264812.jpg,Accessories,Accessories,
264814,,SIIG AC CE-KV0F11-S1 4x1 HDMI 4K HDR KVM USB3.0 Switch with Remote Control,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=264814,https://www.asipartner.com/ocadmin/images/original/264814.jpg,Accessories,KVM Switch Box,
264816,,SIIG AC CE-KV0E11-S1 2x1 HDMI 4K HDR KVM USB 3.0 Switch with Remote Control,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=264816,https://www.asipartner.com/ocadmin/images/original/264816.jpg,Accessories,KVM Switch Box,
265356,,SIIG Cable CB-H21B11-S1 HDMI 4K60Hz AOC Cable 15M Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=265356,,Cables,External IDE,
265502,,SIIG AC CE-MTDK11-S1 USB-C Laptop Adjustable Stand w Video Docking Station,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=265502,https://www.asipartner.com/ocadmin/images/original/265502.jpg,Accessories,Notebook Accessories,
